TA,Key,Indication
Oncology,Neuroendocrine Gastroenteropancreatic Tumors,Neuroendocrine Gastroenteropancreatic Tumors
Ophthalmology,Intermediate Uveitis,Intermediate Uveitis
Ophthalmology,Chlamydial Conjunctivitis,Chlamydial Conjunctivitis
Oncology,Pituitary Tumor,Pituitary Tumor
Oncology,Choriocarcinoma,Choriocarcinoma
Ophthalmology,Nystagmus,Nystagmus
Oncology,Adenocarcinoma,Adenocarcinoma
Oncology,Glioma,Glioma
Oncology,Transitional Cell Carcinoma,Transitional Cell Carcinoma
Ophthalmology,Intraoperative Miosis,Intraoperative Miosis
Ophthalmology,Open-Angle Glaucoma,Open-Angle Glaucoma
Ophthalmology,Classic Choroidal Neovascularization,Classic Choroidal Neovascularization
Ophthalmology,Retinal Vascular Occlusion,Retinal Vascular Occlusion
Ophthalmology,Atopic Keratoconjunctivitis,Atopic Keratoconjunctivitis
Oncology,Medullary Thyroid Cancer,Medullary Thyroid Cancer
Ophthalmology,Acute Blepharoconjunctivitis,Acute Blepharoconjunctivitis
Ophthalmology,Chlamydia Neonatal Conjunctivitis,Chlamydia Neonatal Conjunctivitis
Ophthalmology,Macular Degeneration,Macular Degeneration
Ophthalmology,Neonatal Conjunctivitis,Neonatal Conjunctivitis
Ophthalmology,Corneal Edema,Corneal Edema
Ophthalmology,Cataract,Cataract
Ophthalmology,Central Retinal Vein Occlusion,Central Retinal Vein Occlusion
Oncology,Multiple Endocrine Adenomas,Multiple Endocrine Adenomas
Ear Nose Throat Disorders,Laryngitis,Laryngitis
Ear Nose Throat Disorders,Acute Bacterial Sinusitis,Acute Bacterial Sinusitis
Ear Nose Throat Disorders,Vertigo,Vertigo
Ear Nose Throat Disorders,Nasopharyngitis,Nasopharyngitis
Ear Nose Throat Disorders,Tonsillitis,Tonsillitis
Ear Nose Throat Disorders,Meniere Disease,Meniere Disease
Ear Nose Throat Disorders,Vasomotor Rhinitis,Vasomotor Rhinitis
Ear Nose Throat Disorders,Epistaxis,Epistaxis
Ear Nose Throat Disorders,Otitis Media,Otitis Media
Ear Nose Throat Disorders,Tinnitus,Tinnitus
Ear Nose Throat Disorders,Acute Tonsillitis,Acute Tonsillitis
Ear Nose Throat Disorders,Laryngeal Edema,Laryngeal Edema
Ear Nose Throat Disorders,Otitis Externa,Otitis Externa
Ear Nose Throat Disorders,Rhinitis,Rhinitis
Ear Nose Throat Disorders,Labyrinth Disorders,Labyrinth Disorders
Ear Nose Throat Disorders,Maxillary Sinusitis,Maxillary Sinusitis
Ear Nose Throat Disorders,Infectious Rhinitis,Infectious Rhinitis
Ear Nose Throat Disorders,Tympanic Membrane Perforation,Tympanic Membrane Perforation
Dermatology,Hidradenitis Suppurativa,Hidradenitis Suppurativa
Dermatology,Axillary Hyperhidrosis,Axillary Hyperhidrosis
Dermatology,Chronic Urticaria Or Hives,Chronic Urticaria Or Hives
Dermatology,Alopecia,Alopecia
Dermatology,Skin And Soft Tissue Infections,Skin And Soft Tissue Infections
Dermatology,Pruritus,Pruritus
Dermatology,Contact Dermatitis,Contact Dermatitis
Dermatology,Alopecia Areata,Alopecia Areata
Dermatology,Acne Vulgaris,Acne Vulgaris
Dermatology,Bed Sores,Bed Sores
Dermatology,Erythroplasia,Erythroplasia
Dermatology,Burns,Burns
Dermatology,Dermatitis,Dermatitis
Dermatology,Erythema Nodosum Leprosum,Erythema Nodosum Leprosum
Dermatology,Scabies,Scabies
Dermatology,Bruise,Bruise
Dermatology,Pressure Ulcers,Pressure Ulcers
Dermatology,Dermal Ulcers,Dermal Ulcers
Dermatology,Erythema Multiforme,Erythema Multiforme
Dermatology,Bullous Pemphigoid,Bullous Pemphigoid
Dermatology,Actinic Keratosis,Actinic Keratosis
Dermatology,Acne And Related Disorders,Acne And Related Disorders
Dermatology,Skin Infections,Skin Infections
Dermatology,Palmoplantar Keratoderma,Palmoplantar Keratoderma
Dermatology,Hypertrophic Scars,Hypertrophic Scars
Dermatology,Rosacea,Rosacea
Dermatology,Vitiligo,Vitiligo
Dermatology,Androgenic Alopecia,Androgenic Alopecia
Dermatology,Wounds,Wounds
Dermatology,Toxic Epidermal Necrolysis,Toxic Epidermal Necrolysis
Dermatology,Folliculitis,Folliculitis
Dermatology,Actinic Purpura,Actinic Purpura
Dermatology,Leg Ulcers,Leg Ulcers
Dermatology,Arterial Leg Ulcers,Arterial Leg Ulcers
Dermatology,Severe Recalcitrant Nodular Acne,Severe Recalcitrant Nodular Acne
Dermatology,Dermatitis Herpetiformis,Dermatitis Herpetiformis
Dermatology,Dermatological Disorders,Dermatological Disorders
Infectious Disease,Genital Warts,Genital Warts
Infectious Disease,Epstein-Barr Virus Infections,Epstein-Barr Virus Infections
Infectious Disease,Herpes Zoster,Herpes Zoster
Infectious Disease,Vaginitis,Vaginitis
Infectious Disease,Gonorrhea,Gonorrhea
Infectious Disease,Pyelonephritis,Pyelonephritis
Infectious Disease,Aspergillosis,Aspergillosis
Infectious Disease,Rotavirus Infections,Rotavirus Infections
Infectious Disease,Bacterial Meningitis,Bacterial Meningitis
Infectious Disease,Unspecified Influenza Virus Infections,Unspecified Influenza Virus Infections
Infectious Disease,Abdominal Abscess,Abdominal Abscess
Infectious Disease,Oropharyngeal Candidiasis,Oropharyngeal Candidiasis
Infectious Disease,HIV Wasting Syndrome,HIV Wasting Syndrome
Infectious Disease,Influenzavirus A Infections,Influenzavirus A Infections
Infectious Disease,Bacterial Pneumonia,Bacterial Pneumonia
Infectious Disease,Chicken Pox,Chicken Pox
Infectious Disease,Anthrax,Anthrax
Infectious Disease,Hospital-Acquired Infections,Hospital-Acquired Infections
Infectious Disease,Diphtheria,Diphtheria
Infectious Disease,Measles,Measles
Infectious Disease,Abscess,Abscess
Infectious Disease,Japanese Encephalitis,Japanese Encephalitis
Infectious Disease,Genital Herpes,Genital Herpes
Infectious Disease,Cutaneous Candidiasis,Cutaneous Candidiasis
Infectious Disease,Tinea Corporis,Tinea Corporis
Infectious Disease,Herpes Labialis,Herpes Labialis
Infectious Disease,Malaria,Malaria
Infectious Disease,Skin And Skin Structure Infections Caused By Bacteria,Skin And Skin Structure Infections Caused By Bacteria
Infectious Disease,Warts,Warts
Infectious Disease,Tinea Cruris,Tinea Cruris
Infectious Disease,Paratyphoid Fever,Paratyphoid Fever
Infectious Disease,Herpes Simplex Encephalitis,Herpes Simplex Encephalitis
Infectious Disease,Poliomyelitis,Poliomyelitis
Infectious Disease,Echinococcosis,Echinococcosis
Infectious Disease,Simplexvirus Infections,Simplexvirus Infections
Infectious Disease,Candidiasis,Candidiasis
Infectious Disease,Actinomycosis,Actinomycosis
Infectious Disease,Acute Uncomplicated Cystitis In Women,Acute Uncomplicated Cystitis In Women
Infectious Disease,Fungal Infections,Fungal Infections
Infectious Disease,Idiopathic Interstitial Pneumonia,Idiopathic Interstitial Pneumonia
Infectious Disease,Pulmonary Tuberculosis,Pulmonary Tuberculosis
Infectious Disease,Cutaneous Mycosis,Cutaneous Mycosis
Infectious Disease,Granuloma Inguinale,Granuloma Inguinale
Infectious Disease,Dermatomycoses,Dermatomycoses
Infectious Disease,Bacteremia,Bacteremia
Infectious Disease,Haemophilus Infections,Haemophilus Infections
Infectious Disease,Escherichia Coli Septicaemia,Escherichia Coli Septicaemia
Infectious Disease,Chronic Bacterial Prostatitis,Chronic Bacterial Prostatitis
Infectious Disease,AIDS-Related Opportunistic Infections,AIDS-Related Opportunistic Infections
Infectious Disease,Bacterial Infections,Bacterial Infections
Infectious Disease,Tuberculous Meningitis,Tuberculous Meningitis
Infectious Disease,Filariasis,Filariasis
Infectious Disease,Kaposi Sarcoma,Kaposi Sarcoma
Infectious Disease,Acute Intestinal Amoebiasis,Acute Intestinal Amoebiasis
Infectious Disease,Fungal Meningitis,Fungal Meningitis
Infectious Disease,Cytomegalovirus Retinitis,Cytomegalovirus Retinitis
Infectious Disease,Hordeolum,Hordeolum
Infectious Disease,Cellulitis,Cellulitis
Infectious Disease,Hepatitis A,Hepatitis A
Infectious Disease,Blastomycosis,Blastomycosis
Infectious Disease,Chronic Mucocutaneous Candidiasis,Chronic Mucocutaneous Candidiasis
Infectious Disease,Dermatophytosis,Dermatophytosis
Infectious Disease,Strongyloidiasis,Strongyloidiasis
Infectious Disease,Trichuriasis,Trichuriasis
Infectious Disease,Mumps,Mumps
Infectious Disease,Cholera,Cholera
Infectious Disease,Schistosomiasis,Schistosomiasis
Infectious Disease,Idiopathic Eosinophilic Pneumonia,Idiopathic Eosinophilic Pneumonia
Infectious Disease,Ancylostomiasis,Ancylostomiasis
Infectious Disease,Rabies,Rabies
Infectious Disease,Infectious Lymphadenitis,Infectious Lymphadenitis
Infectious Disease,Community-Acquired Bacterial Pneumonia,Community-Acquired Bacterial Pneumonia
Infectious Disease,Rubella,Rubella
Infectious Disease,Erythrasma,Erythrasma
Infectious Disease,Nematodal Infections,Nematodal Infections
Infectious Disease,Candidal Onychomycosis,Candidal Onychomycosis
Infectious Disease,Allergic Bronchopulmonary Aspergillosis,Allergic Bronchopulmonary Aspergillosis
Infectious Disease,Yellow Fever,Yellow Fever
Infectious Disease,Pandemic Influenza,Pandemic Influenza
Infectious Disease,Vulvovaginal Candidiasis,Vulvovaginal Candidiasis
Infectious Disease,Molluscum Contagiosum,Molluscum Contagiosum
Infectious Disease,Seasonal Influenza,Seasonal Influenza
Infectious Disease,Zika Virus Infections,Zika Virus Infections
Infectious Disease,Ebolavirus Infections,Ebolavirus Infections
Infectious Disease,Mycoses,Mycoses
Infectious Disease,Viral Infections,Viral Infections
Respiratory,Alveolitis,Alveolitis
Respiratory,Acute Lung Injury,Acute Lung Injury
Respiratory,Status Asthmaticus,Status Asthmaticus
Male Health,Storage Symptoms of Benign Prostatic Hyperplasia,Storage Symptoms of Benign Prostatic Hyperplasia
Male Health,Male Hypogonadism,Male Hypogonadism
Male Health,Secondary Hypogonadism,Secondary Hypogonadism
Infectious Disease,Tinea Capitis,Tinea Capitis
Infectious Disease,Coccidioidomycosis,Coccidioidomycosis
Infectious Disease,Ascariasis,Ascariasis
Infectious Disease,Cryptococcal Meningitis,Cryptococcal Meningitis
Infectious Disease,Bacillary Dysentery,Bacillary Dysentery
Infectious Disease,Trichomonas Vaginitis,Trichomonas Vaginitis
Infectious Disease,Bacterial Vaginosis,Bacterial Vaginosis
Infectious Disease,Extraintestinal Amoebiasis,Extraintestinal Amoebiasis
Infectious Disease,Bacterial Sepsis,Bacterial Sepsis
Infectious Disease,Furunculosis,Furunculosis
Infectious Disease,Pediculosis capitis,Pediculosis capitis
Infectious Disease,Elephantiasis,Elephantiasis
Infectious Disease,Unspecified Hepatitis,Unspecified Hepatitis
Infectious Disease,Osteomyelitis,Osteomyelitis
Male Health,Gynecomastia,Gynecomastia
Infectious Disease,Dengue Fever,Dengue Fever
Male Health,Voiding Symptoms of Benign Prostatic Hyperplasia,Voiding Symptoms of Benign Prostatic Hyperplasia
Infectious Disease,Influenzavirus B Infections,Influenzavirus B Infections
Infectious Disease,Cerebral Malaria,Cerebral Malaria
Oncology,Muscle Invasive Bladder Cancer,Muscle Invasive Bladder Cancer
Oncology,Transitional Cell Cancer,Transitional Cell Cancer
Oncology,Gastroesophageal Junction Carcinomas,Gastroesophageal Junction Carcinomas
Oncology,Small-Cell Lung Cancer,Small-Cell Lung Cancer
Oncology,Nasopharyngeal Cancer,Nasopharyngeal Cancer
Oncology,Metastatic Hepatocellular Carcinoma,Metastatic Hepatocellular Carcinoma
Oncology,Unspecified B-Cell Lymphomas,Unspecified B-Cell Lymphomas
Oncology,Waldenstrom Macroglobulinemia,Waldenstrom Macroglobulinemia
Nutritional Disorders,Hypercalcemia,Hypercalcemia
Oncology,Gastrointestinal Carcinoid Tumor,Gastrointestinal Carcinoid Tumor
Oncology,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma
Oncology,Germinomatous Germ Cell Tumors,Germinomatous Germ Cell Tumors
Oncology,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer
Oncology,High-Grade Glioma,High-Grade Glioma
Nutritional Disorders,Hyponatremia,Hyponatremia
Oncology,Angioimmunoblastic T-Cell Lymphoma,Angioimmunoblastic T-Cell Lymphoma
Oncology,Extranodal Marginal Zone B-Cell Lymphoma,Extranodal Marginal Zone B-Cell Lymphoma
Oncology,Metastatic Biliary Tract Cancer,Metastatic Biliary Tract Cancer
Oncology,Lung Adenocarcinoma,Lung Adenocarcinoma
Oncology,Malignant Neoplasms,Malignant Neoplasms
Nutritional Disorders,Hyperphosphatemia In Chronic Kidney Disease,Hyperphosphatemia In Chronic Kidney Disease
Oncology,Leiomyosarcoma,Leiomyosarcoma
Nutritional Disorders,Thiamine Deficiency,Thiamine Deficiency
Nutritional Disorders,X-Linked Hypophosphatemic Rickets,X-Linked Hypophosphatemic Rickets
Nutritional Disorders,Hyperphosphatemia,Hyperphosphatemia
Nutritional Disorders,Hypocalcemia,Hypocalcemia
Oncology,Refractory Acute Myeloid Leukemia,Refractory Acute Myeloid Leukemia
Oncology,Angiosarcoma,Angiosarcoma
Nutritional Disorders,Vitamin D Deficiency Disorders,Vitamin D Deficiency Disorders
Nutritional Disorders,Scurvy,Scurvy
Oncology,Meningeal Leukemia,Meningeal Leukemia
Oncology,Skin Cancer,Skin Cancer
Oncology,Vestibular Schwannoma,Vestibular Schwannoma
Oncology,Neuroblastoma,Neuroblastoma
Oncology,Angiosarcoma Of Bone,Angiosarcoma Of Bone
Oncology,Hepatic Tumor,Hepatic Tumor
Oncology,Subependymal Giant Cell Astrocytoma,Subependymal Giant Cell Astrocytoma
Nutritional Disorders,Vitamin B Deficiency,Vitamin B Deficiency
Oncology,Malignant Mesothelioma,Malignant Mesothelioma
Nutritional Disorders,Hypocobalaminemia Deficiency,Hypocobalaminemia Deficiency
Oncology,Bone Tumor,Bone Tumor
Oncology,Penile Cancer,Penile Cancer
Oncology,Paraganglioma,Paraganglioma
Oncology,Squamous Non-Small Cell Lung Cancer,Squamous Non-Small Cell Lung Cancer
Oncology,T-Cell Acute Lymphocytic Leukemia,T-Cell Acute Lymphocytic Leukemia
Oncology,Polycythemia Vera,Polycythemia Vera
Nutritional Disorders,Mineral Deficiency,Mineral Deficiency
Oncology,Germ Cell Tumors,Germ Cell Tumors
Oncology,Tenosynovial Giant Cell Tumor,Tenosynovial Giant Cell Tumor
Oncology,Osteolytic Bone Metastasis,Osteolytic Bone Metastasis
Oncology,Recurrent Head And Neck Cancer Squamous Cell Carcinoma,Recurrent Head And Neck Cancer Squamous Cell Carcinoma
Oncology,Metastatic Bile Duct Cancer,Metastatic Bile Duct Cancer
Oncology,Primary CNS Lymphoma,Primary CNS Lymphoma
Oncology,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma
Oncology,Uterine Cancer,Uterine Cancer
Oncology,Pancreatic Ductal Adenocarcinoma,Pancreatic Ductal Adenocarcinoma
Oncology,Carcinomas,Carcinomas
Oncology,Pediatric Diffuse Intrinsic Pontine Glioma,Pediatric Diffuse Intrinsic Pontine Glioma
Oncology,Advanced Malignancy,Advanced Malignancy
Oncology,Papillary Thyroid Cancer,Papillary Thyroid Cancer
Oncology,Hypopharyngeal Cancer,Hypopharyngeal Cancer
Oncology,Gastrointestinal Tract Cancer,Gastrointestinal Tract Cancer
Oncology,Head And Neck Carcinoma,Head And Neck Carcinoma
Oncology,Sarcomas,Sarcomas
Oncology,Recurrent Malignant Glioma,Recurrent Malignant Glioma
Oncology,Chordoma,Chordoma
Oncology,Adrenal Gland Cancer,Adrenal Gland Cancer
Oncology,Nonhematologic Malignancy,Nonhematologic Malignancy
Oncology,Adenoid Cystic Carcinoma,Adenoid Cystic Carcinoma
Oncology,Synovial Sarcoma,Synovial Sarcoma
Oncology,T-Cell Leukemia,T-Cell Leukemia
Oncology,Metastatic Cancer,Metastatic Cancer
Oncology,Colorectal Tumor,Colorectal Tumor
Oncology,Metastatic Liver Cancer,Metastatic Liver Cancer
Infectious Disease,Neisseria meningitidis Infections,Neisseria meningitidis Infections
Infectious Disease,Impetigo,Impetigo
Infectious Disease,Haemophilus influenzae Type B Infections,Haemophilus influenzae Type B Infections
Infectious Disease,Tetanus,Tetanus
Infectious Disease,Uncomplicated Cervical And Urethral Gonorrhea,Uncomplicated Cervical And Urethral Gonorrhea
Infectious Disease,Complicated Intra-Abdominal Infections,Complicated Intra-Abdominal Infections
Infectious Disease,Surgical Wound Infections,Surgical Wound Infections
Infectious Disease,Typhoid Fever,Typhoid Fever
Infectious Disease,Meningitis,Meningitis
Infectious Disease,Lyme Disease,Lyme Disease
Infectious Disease,Amoebic Dysentary,Amoebic Dysentary
Infectious Disease,Helicobacter pylori Infections,Helicobacter pylori Infections
Infectious Disease,Haemophilus influenzae Infections,Haemophilus influenzae Infections
Infectious Disease,Leprosy,Leprosy
Infectious Disease,Pneumocystis carinii Pneumonia,Pneumocystis carinii Pneumonia
Infectious Disease,Nongonococcal Urethritis,Nongonococcal Urethritis
Infectious Disease,Escherichia coli Infections,Escherichia coli Infections
Infectious Disease,Carbuncle,Carbuncle
Infectious Disease,Gas Gangrene,Gas Gangrene
Infectious Disease,Methicillin-Resistant Staphylococcus aureus Infections,Methicillin-Resistant Staphylococcus aureus Infections
Infectious Disease,Asymptomatic Bacteriuria,Asymptomatic Bacteriuria
Infectious Disease,Methicillin-Susceptible Staphylococcus aureus Infections,Methicillin-Susceptible Staphylococcus aureus Infections
Infectious Disease,Mycobacterium avium-Intracellulare Infections,Mycobacterium avium-Intracellulare Infections
Infectious Disease,"Uncomplicated Urethral, Endocervical, or Rectal Infections in Adults","Uncomplicated Urethral, Endocervical, or Rectal Infections in Adults"
Infectious Disease,Dental Abscess,Dental Abscess
Infectious Disease,Tinea Manuum,Tinea Manuum
Infectious Disease,Bacteriuria,Bacteriuria
Infectious Disease,Chancroid,Chancroid
Infectious Disease,Pertussis,Pertussis
Infectious Disease,Tinea Nigra,Tinea Nigra
Infectious Disease,Histoplasmosis,Histoplasmosis
Infectious Disease,Pelvic Inflammatory Disease,Pelvic Inflammatory Disease
Infectious Disease,Oral Thrush,Oral Thrush
Infectious Disease,Brucellosis,Brucellosis
Infectious Disease,Erysipelas,Erysipelas
Infectious Disease,Bacillus anthracis Infections,Bacillus anthracis Infections
Infectious Disease,Entamoeba Infections,Entamoeba Infections
Infectious Disease,Botulism,Botulism
Infectious Disease,Staphylococcal Infections,Staphylococcal Infections
Infectious Disease,Gram-Positive Bacterial Infections,Gram-Positive Bacterial Infections
Infectious Disease,Opportunistic Infections,Opportunistic Infections
Infectious Disease,Bartonellosis,Bartonellosis
Infectious Disease,Sepsis,Sepsis
Infectious Disease,Vancomycin-Resistant Staphylococcus aureus Infections,Vancomycin-Resistant Staphylococcus aureus Infections
Infectious Disease,Mycobacterium avium Infections,Mycobacterium avium Infections
Infectious Disease,Enterobacteriaceae Infections,Enterobacteriaceae Infections
Infectious Disease,Resistant Pseudomonas aeruginosa Infections,Resistant Pseudomonas aeruginosa Infections
Infectious Disease,Chlamydia trachomatis Pneumonia,Chlamydia trachomatis Pneumonia
Infectious Disease,Mycobacterium tuberculosis Infections,Mycobacterium tuberculosis Infections
Infectious Disease,Syphilis,Syphilis
Infectious Disease,Plague,Plague
Infectious Disease,Puerperal Infection,Puerperal Infection
Infectious Disease,Gram-Negative Bacterial Infections,Gram-Negative Bacterial Infections
Infectious Disease,Acinetobacter Infections,Acinetobacter Infections
Infectious Disease,Staphylococcus aureus Infections,Staphylococcus aureus Infections
Dermatology,Lichen Simplex Chronicus,Lichen Simplex Chronicus
Dermatology,Pityriasis Simplex Capillitii,Pityriasis Simplex Capillitii
Dermatology,Dermatosis,Dermatosis
Respiratory,Chronic Lung Infection,Chronic Lung Infection
