Congress,TA,Indication,Top,Country,City,StartDate,EndDate,Cost,GoogleHits,USEU
2020 Infectious Disease Association of California (IDAC) Winter Symposium,Infectious Disease,NA,0,United States Of America,"Oakland, California",07-03-2020,NA,-,8910,1
2020 International Cancer Immunotherapy Conference,Oncology,NA,0,United States Of America,"New York, New York",13-09-2020,16-09-2020,-,598000,1
2020 International Conference and Exhibition on Diabetes & Endocrinology,Metabolic Disorders,Diabetes,0,Spain,"Barcelona, Cataluna",23-03-2020,24-03-2020,-,8800000,1
2020 International Conference on Cardiology & Healthcare,Cardiology,NA,0,United Arab Emirates,"Abu Dhabi, Abu Dhabi",13-04-2020,14-04-2020,-,4260000,0
2020 International Conference on Disaster Medicine and Hurricane Resiliency,Infectious Disease,NA,0,United States of America,"Sint Maarten, Sint Maarten",26-03-2020,29-03-2020,550,1600000,1
2020 International Conference on Infectious Diseases,Infectious Disease,NA,1,United Arab Emirates,"Dubai, Dubai",22-04-2020,23-04-2020,-,27900000,0
2020 International Conference on Neurology & Brain Disorders,Neurology,Neurology,0,Japan,"Tokyo, Kanto",15-04-2020,16-04-2020,699,7810000,0
2020 International TSC Research Conference,Genetic Disorders,NA,0,United Kingdom,London,12-11-2020,14-11-2020,-,423000,1
2020 IPA International Congress,Neurology,NA,0,Portugal,Lisbon,02-10-2020,05-10-2020,-,591000,1
"2020 James R. Klinenberg, MD, Symposium on Rheumatic Diseases: Hot Topics in Rheumatology",Rheumatology,NA,0,United States Of America,"Los Angeles, California",29-02-2020,NA,-,1130,1
2020 Kimbrough Seminar by Society of Government Service Urologists (SGSU),Genito Urinary System And Sex Hormones,NA,0,United States of America,"Charlotte, North Carolina",15-01-2020,19-01-2020,-,38400,1
2020 MASCC/ISOO Annual Meeting,Oncology,NA,0,Spain,NA,25-06-2020,27-06-2020,-,3170,1
2020 Mayo Clinic Urology Review Course,Genito Urinary System And Sex Hormones,NA,0,United States of America,"Kohala Coast, Hawaii",03-02-2020,07-02-2020,-,358000,1
2020 MDA Clinical & Scientific Conference,Genetic Disorders,NA,0,United States,Orlando,21-03-2020,25-03-2020,-,581000,1
2020 Medical Oncology and Hematology Conference,Oncology,NA,1,United States of America,"Houston, Texas",02-04-2020,03-04-2020,-,889000,1
2020 MSK Cardio-Oncology Symposium,Internal Medicine,NA,1,United States Of America,"New York City, New York",15-05-2020,16-05-2020,350,132000,1
2020 Multidisciplinary Head and Neck Cancer Symposium,Oncology,Head And Neck Cancer,0,United States Of America,"Scottsdale, Arizona",27-02-2020,29-02-2020,-,214000,1
2020 Multidisciplinary Thoracic Cancers Symposium,Oncology,NA,0,United States Of America,"Scottsdale, Arizona",03-12-2020,05-12-2020,1225,119000,1
2020 NC Society of Pathologists Annual Meeting,Pathology,NA,1,United States of America,"Charlotte, North Carolina",24-04-2020,25-04-2020,-,2260000,1
2020 Neurology Update - A Comprehensive Review for the Clinician,Neurology,Neurology,0,United States of America,"Washington, Dist of Col",07-08-2020,09-08-2020,-,26300000,1
2020 North American Neuromodulation Society (NANS) Annual Meeting,Neurology,NA,0,United States of America,"Las Vegas, Nevada",23-01-2020,26-01-2020,-,13800,1
2020 North Carolina Dermatology Association (NCDA) Annual Meeting,Dermatology,Dermatology,0,United States of America,"Raleigh, North Carolina",24-01-2020,26-01-2020,-,3.00E+05,1
2020 North Carolina Neurological Society (NCNS) Annual Meeting,Neurology,NA,0,United States of America,"Raleigh, North Carolina",21-02-2020,23-02-2020,-,206000,1
2020 Oncologic Emergency Medicine Conference,Oncology,NA,0,United States of America,"Houston, Texas",23-01-2020,24-01-2020,-,6070000,1
2020 OOS Annual Meeting,Ophthalmology,NA,0,United States Of America,"Columbus, Ohio",29-02-2020,NA,-,170000,1
2020 Oral Oncology Symposium,Oncology,NA,0,United States of America,"Houston, Texas",14-05-2020,16-05-2020,-,594000,1
2020 Pan Pacific Lymphoma Conference,Oncology,Lymphoma,0,United States of America,"Big Island, Hawaii",20-07-2020,24-07-2020,-,306000,1
2020 Parenteral Drug Association (PDA) Europe Virus Forum,Infectious Disease,NA,0,Belgium,"Brussels, Brussels",15-06-2020,16-06-2020,-,60300,1
2020 PNS Annual Meeting,Neurology,NA,0,United States,Miami,27-06-2020,30-06-2020,-,192000,1
2020 Research Workshop Harnessing the Power of Artificial Intelligence to Improve Radiation Therapy,Oncology,NA,0,United States of America,"Washington, Dist of Col",04-06-2020,05-06-2020,-,699000,1
2020 Robotic Advanced Course,Genito Urinary System And Sex Hormones,NA,0,France,"Strasbourg, Grand Est",05-03-2020,07-03-2020,-,2.70E+07,1
2020 SID Annual Meeting,Dermatology,NA,0,United States,Scottsdale‚Äé,12-05-2020,16-05-2020,-,2730000,1
2020 Society for Investigative Dermatology (SID) Annual Meeting,Dermatology,Dermatology,0,United States Of America,"Scottsdale, Arizona",13-05-2020,16-05-2020,1300,218000,1
2020 Society for Research on Adolescence (SRA) Biennial Meeting,Genetic Disorders,NA,0,United States Of America,"San Diego, California",19-03-2020,21-03-2020,-,28200,1
2020 Society of Hematologic Oncology (SOHO) Annual Meeting,Oncology,NA,0,United States Of America,"Houston, Texas",09-09-2020,12-09-2020,-,90100,1
2020 South Carolina Academy of Dermatology and Dermatologic Surgery (SCADDS) Annual Meeting,Dermatology,Dermatology,0,United States of America,"Charleston, South Carolina",17-04-2020,18-04-2020,-,669,1
2020 South Carolina Rheumatism Society Annual Meeting,Rheumatology,NA,0,United States Of America,"Charleston, South Carolina",24-04-2020,26-04-2020,-,903000,1
2020 Spring Training: Medical Therapeutics in Dermatology,Dermatology,Dermatology,0,United States of America,"Scottsdale, Arizona",25-04-2020,NA,-,773000,1
2020 Stroke Conference,Neurology,Stroke,0,United States Of America,"San Diego, California",15-08-2020,NA,-,25300000,1
2020 Summit on National & Global Cancer Health Disparities,Oncology,NA,0,United States of America,"Bellevue, Washington",03-04-2020,04-04-2020,-,2.97E+08,1
"2020 Table Rock Regional Roundup Meeting - Ridgedale, Missouri",Ophthalmology,NA,0,United States Of America,"Ridgedale, Missouri",24-09-2020,26-09-2020,-,29600,1
2020 The International College of Neuropsychopharmacology (CINP) World Congress,Neurology,NA,0,Taiwan,"Taipei, Taipei",25-06-2020,28-06-2020,-,4140,0
"2020 Tutorial in Pathology of the GI Tract, Pancreas and Liver course",Pathology,NA,0,Belgium,"Bruges, West Flanders",09-08-2020,13-08-2020,1599,449000,1
2020 Tutorial on Neoplastic Hematopathology,Oncology,NA,0,United States Of America,"Naples, Florida",20-01-2020,24-01-2020,-,138000,1
2020 United States Conference on AIDS (USCA),Infectious Disease,NA,0,United States of America,"San Juan, Puerto Rico",10-10-2020,13-10-2020,-,32800,1
2020 Update on Pancreaticobiliary Diseases,Internal Medicine,NA,0,United States Of America,"Washington, Dist Of Col",22-02-2020,NA,250,51500,1
2020 Updates in Hematology and Hematologic Malignancies,Hematology,NA,1,United States of America,"Charlottesville, Virginia",03-04-2020,NA,-,255000,1
2020 uroLogic Conference,Genito Urinary System And Sex Hormones,NA,1,United States Of America,"New Orleans, Louisiana",09-10-2020,12-10-2020,-,2790000,1
"2020 USCLC Annual Workshop-""Immunotherapy for Cutaneous Lymphoma""",Oncology,Lymphoma,0,United States,Denver,19-03-2020,19-03-2020,-,6,1
2020 Vision - Cornea and Cataract Day,Ophthalmology,Cataract,0,United Kingdom,"Birmingham, England",18-05-2020,NA,-,1220000,1
2020 West Virginia Dermatologic Society (WVDS) Conference,Dermatology,NA,0,United States of America,"White Sulphur Springs, West Virginia",14-08-2020,15-08-2020,-,7,1
2020 World Cancer Congress,Oncology,NA,0,Oman,"Muscat, Muscat",19-10-2020,22-10-2020,-,53500000,0
2020 World Heart Congress,Cardiology,NA,0,Spain,"Madrid, Madrid",26-03-2020,27-03-2020,-,71400000,1
20th Annual Educational Meeting in Gastroenterology,Gastrointestinal,NA,1,United States Of America,"Los Angeles, California",21-02-2020,22-02-2020,-,1150000,1
20th Annual Gastroenterology and Hepatology: Viva la Vida,Gastrointestinal,NA,0,United States of America,"Carolina, Puerto Rico",10-03-2020,13-03-2020,-,326000,1
20th Annual National Sarasota Congress on Cardiovascular Disease Prevention: Update 2020,Cardiology,Cardiovascular Disease,1,United States Of America,"Sarasota, Florida",07-02-2020,09-02-2020,250,363000,1
20th Annual Retina Fellows Forum,Ophthalmology,NA,0,United States Of America,"Chicago, Illinois",24-01-2020,25-01-2020,-,373000,1
20th edition of the WCO-IOF-ESCEO Barcelona 2020,Musculoskeletal Disorders,NA,0,Spain,Barcelona,02-04-2020,05-04-2020,-,987,1
20th European Society of Retina Specialists Congress (EURETINA),Ophthalmology,NA,0,Netherlands,"Amsterdam, Noord Holland",01-10-2020,04-10-2020,-,2870,1
20th European VitreoRetinal Society (EVRS) Meeting 2020,Ophthalmology,NA,0,Sweden,"Stockholm, Stockholm",11-06-2020,14-06-2020,-,1500,1
20th World Gastroenterologists Summit,Gastrointestinal,NA,0,Japan,Osaka,20-07-2020,21-07-2020,-,1080000,0
21st Annual Advanced Vitreoretinal Techniques and Technology Symposium,Ophthalmology,NA,1,United States Of America,"Chicago, Illinois",21-08-2020,23-08-2020,-,1700000,1
21st Annual Conference of the Indian Society of Neuroanesthesiology and Critical Care (ISNACC),Neurology,NA,0,India,"Chennai, Tamil Nadu",31-01-2020,02-02-2020,-,533,0
"21st Annual Dermatology in the Keys, 'Derm for the Non Derm'",Dermatology,Dermatology,0,United States of America,"Key West, Florida",27-05-2020,31-05-2020,1275,1140000,1
21st Annual International Lung Cancer Congress¬¨vÜ,Oncology,Lung Cancer,0,United States Of America,"Huntington Beach, California",23-07-2020,25-07-2020,-,643000,1
21st Annual Meeting of the Society of Urologic Oncology (SUO),Genito Urinary System And Sex Hormones,NA,0,United States Of America,"Dallas, Texas",02-12-2020,04-12-2020,-,26600,1
"21st Annual Network for the Advancement of Patient Blood Management, Haemostasis and Thrombosis (NATA) Symposium",Internal Medicine,Thrombosis,0,United States Of America,"Athens, Georgia",23-04-2020,24-04-2020,-,57100,1
21st Annual Scientific Meeting (ASM) of the Australasian College of Phlebology (ACP),Dermatology,NA,0,New Zealand,"Auckland, Auckland",02-05-2020,05-05-2020,-,3080,0
21st EVF Annual Meeting,Cardiology,NA,0,Hungary,"Budapest, Budapest",25-06-2020,27-06-2020,-,40100,1
21st International European Association of Urology Nurses (EAUN) Meeting 2020,Genito Urinary System And Sex Hormones,NA,1,Netherlands,"Amsterdam, North Holland",21-03-2020,23-03-2020,-,491000,1
22nd Annual Belgian Society of Medical Oncology (BSMO) Meeting,Oncology,NA,0,Belgium,"Ghent, East Flanders",14-02-2020,15-02-2020,-,611,1
22nd Annual Business of Retina Meeting,Ophthalmology,NA,1,United States of America,"Dallas, Texas",21-03-2020,22-03-2020,-,779000,1
22nd Annual John Goldman Conference on Chronic Myeloid Leukemia: Biology and Therapy,Hematology,Leukemia,0,France,"Mandelieu La Napoule, Provence-Alpes-Cote d Azur",02-10-2020,04-10-2020,-,63600,1
22nd Annual UBC Respiratory Medicine Update,Respiratory,NA,0,Canada,"Vancouver, British Columbia",08-02-2020,NA,-,83100,0
22nd ASENT 2020 Annual Meeting,Neurology,NA,0,United States,"Bethesda, MD",02-03-2020,05-03-2020,-,1110000,1
22nd Asia Pacific League of Associations for Rheumatology Congress,Rheumatology,NA,0,Japan,"Kyoto, Kansai",31-08-2020,03-09-2020,-,528000,0
22nd Congress of the European Society for Sexual Medicine (ESSM),Genito Urinary System And Sex Hormones,NA,0,Czech Republic,"Prague, Prague",23-01-2020,25-01-2020,-,11500,1
"22nd International Conference on Dialysis - Advances in Kidney Disease, 2020",Internal Medicine,Kidney Disease,1,United States Of America,"Los Angeles, California",21-01-2020,24-01-2020,325,304000,1
22nd National Lung Cancer Symposium,Oncology,Lung Cancer,0,Netherlands,"Amsterdam, Noord Holland",17-01-2020,NA,-,758000,1
22nd POETTS CPET Course,Cardiology,NA,0,United Kingdom,"London, England",19-11-2020,20-11-2020,-,15200,1
22nd Workshop on Methods in Clinical Cancer Research (MCCR),Oncology,NA,0,Netherlands,"Sint Michielsgestel, Noord Brabant",26-06-2020,02-07-2020,-,30100,1
23rd Annual Mayo Clinic Internal Medicine Update,Internal Medicine,NA,0,United States Of America,"Sedona, Arizona",15-10-2020,18-10-2020,-,740000,1
23rd Annual Meeting by American Society of Gene and Cell Therapy (ASGCT),Genetic Disorders,NA,0,United States Of America,"Boston, Massachusetts",12-05-2020,15-05-2020,-,2080,1
23rd Annual Meeting of the Swiss Stroke Society (SSS),Neurology,Stroke,0,Switzerland,"St Gallen, St. Gallen",09-01-2020,10-01-2020,-,214000,1
23rd Annual Oncology Symposium for the Healthcare Provider presented by APAO,Oncology,NA,0,United States,Denver,27-09-2020,30-09-2020,-,493,1
23rd International Surgical Pathology Symposium,Pathology,NA,1,United Kingdom,"London, England",05-05-2020,08-05-2020,-,260000,1
23rd Joint Meeting of the ISDP,Dermatology,NA,0,United States,Denver,18-03-2020,19-03-2020,-,3020,1
24th Annual American Uveitis Society Winter Symposium,Ophthalmology,Uveitis,0,United States of America,"Park City, Utah",18-01-2020,20-01-2020,-,17100,1
24th Annual Glaucoma Symposium,Ophthalmology,Glaucoma,1,United States Of America,"San Francisco, California",08-02-2020,NA,-,58700,1
"24th Annual Hypertension, Diabetes & Dyslipidemia Conference",Internal Medicine,"Hypertension,Diabetes,Dyslipidemia",0,United States of America,"Charleston, South Carolina",26-06-2020,28-06-2020,655,1180000,1
"24th Annual International Congress on Hematologic Malignancies: Focus on Leukemias, Lymphomas, and Myeloma",Oncology,NA,0,United States Of America,"Miami Beach, Florida",27-02-2020,01-03-2020,-,25000,1
24th European Society of Cataract and Refractive Surgeons (ESCRS) Winter Meeting,Ophthalmology,Cataract,0,Morocco,"Marrakesh, Marrakesh-Safi",21-02-2020,23-02-2020,-,6930,0
24th Pan Arab Conference On Diabetes (PACD24),Metabolic Disorders,Diabetes,0,Morocco,"Casablanca, Casablanca",27-03-2020,29-03-2020,-,7,0
25th Annual Executive War College: Conference on Laboratory & Pathology Management,Pathology,NA,1,United States Of America,"New Orleans, Louisiana",28-04-2020,29-04-2020,1295,5490000,1
25th Annual International AF Symposium 2020,Cardiology,NA,0,United States of America,"Washington, Dist of Col",23-01-2020,25-01-2020,-,1840000,1
25th Annual Rodney Appell Memorial Update in Gynecologic Urology,Genito Urinary System And Sex Hormones,NA,0,Turks and Caicos Islands,"Providenciales, Providenciales",06-02-2020,08-02-2020,-,56400,0
25th Annual Scientific Meeting of the International Society of CardioVascular Pharmacotherapy (ISCP),Cardiology,Cardiovascular,0,United States Of America,"Miami, Florida",07-05-2020,09-05-2020,500,784,1
25th Annual Scientific Session of the American Society of Nuclear Cardiology ASNC2020,Cardiology,NA,1,United States,"Washington, D.C.",24-09-2020,27-09-2020,-,9400,1
25th Annual UCLA Brain Attack! ‚ÄövÑv=2020: Symposium on State-of-the- Art Stroke Management,Neurology,Stroke,0,United States of America,"Los Angeles, California",18-04-2020,NA,-,5,1
25th Cardiovascular Summit TCTAP 2020,Cardiology,Cardiovascular,0,South Korea,"Seoul, Seoul",25-04-2020,27-04-2020,-,165,0
25th Congress of European Hematology Association (EHA),Hematology,NA,0,Germany,"Frankfurt am Main, Hessen",11-06-2020,14-06-2020,-,15800,1
25th Congress of the Asian Pacific Society of Respirology (APSR),Respiratory,NA,0,Japan,"Kyoto, Kansai",15-10-2020,18-10-2020,-,4940,0
25th EHA Anniversary Congress,Hematology,NA,0,Germany,Frankfurt,11-06-2020,14-06-2020,-,34400,1
25th IFSO World Congress,Metabolic Disorders,NA,0,United States,Miami,29-07-2020,01-08-2020,-,9970,1
25th International Annual Congress of the World Muscle Society,Musculoskeletal Disorders,NA,0,NA,NA,NA,NA,-,2090000,0
26th Annual Paul C. Peters Urology Symposium,Genito Urinary System And Sex Hormones,NA,0,United States Of America,"Irving, Texas",17-01-2020,19-01-2020,-,490000,1
26th Annual Van Der Meulen Symposium: Advanced Therapies for Movement Disorders,Neurology,Movement Disorders,0,United States of America,"Los Angeles, California",07-03-2020,NA,-,14300,1
26th World Cardiology Conference,Cardiology,NA,0,Thailand,Bangkok,06-04-2020,07-04-2020,-,453000,0
27th Annual ASNTR Conference,Neurology,NA,0,United States,Clearwater Beach,23-04-2020,25-04-2020,-,5270,1
27th Annual Internal Medicine Review Course,Internal Medicine,NA,0,United States of America,"Portland, Oregon",05-03-2020,06-03-2020,-,5470000,1
28th Annual Congress of DIGAB eV and 15th Respiratory Symposium of DGP eV,Respiratory,NA,0,Germany,"Hamburg, Hamburg",11-06-2020,13-06-2020,-,45,1
28th Annual Primary Care Summer Conference Session I,Internal Medicine,NA,0,United States Of America,"Kiawah Island, South Carolina",29-06-2020,03-07-2020,725,6620000,1
28th International Congress on Cardiology and medical interventions,Cardiology,NA,0,Canada,Vancouver,05-10-2020,06-10-2020,-,9150000,0
29th Annual Cardiovascular Conference,Cardiology,Cardiovascular,1,United States of America,"Beaver Creek, Colorado",08-02-2020,12-02-2020,-,536000,1
29th Annual Internal Medicine Board Review 2020,Internal Medicine,NA,1,United States of America,"Rochester, Minnesota",01-06-2020,05-06-2020,-,2910000,1
29th Annual Scientific & Clinical Congress,Metabolic Disorders,NA,0,United States,NA,06-05-2020,10-05-2020,-,11300000,1
29th EADV Congress,Dermatology,NA,0,NA,NA,23-09-2020,27-09-2020,-,9100,0
29th European Academy of Dermatology and Venereology (EADV) Congress,Dermatology,Dermatology,0,Austria,"Vienna, Wien",28-10-2020,01-11-2020,-,3780,1
29th European Diabetes Congress,Metabolic Disorders,Diabetes,0,Spain,Barcelona,15-06-2020,16-06-2020,-,915000,1
29th International Conference on Insights in Ophthalmology,Ophthalmology,Ophthalmology,0,United Kingdom,London,17-06-2020,18-06-2020,-,662000,1
